code;short name;full name;country;url
3074;AS;Aktsiaselts Spacecom;EE;http://www.spacecom.ee/
3075;JLT;Region Jönköpings län, Jönköpings länstrafik;SE;https://jlt.se/
3076;Transdev;Transdev GmbH;DE;www.transdev.de
3077;WGT;Westgate Transport OÜ;EE;
3079;CISALPINO;Cisalpino AG;;
3080;LOKORAIL;LOKORAIL, a.s.;SK;http://lokorail.sk/
3081;ERS Railways;ERS Railways B.V.;NL;http://www.ersrail.nl/
3083;TIM Rail;Tim Rail Eisenbahngesellschaft mbH;;
3084;HTRSN;HTRS Nederland BV;;
3085;CER CO;Central European Railway CO;HU;http://www.cer.hu/
3086;DBV-ITL;DBV-ITL, s.r.o.;CZ;www.dbv-itl.cz
3087;BASF AG;BASF Aktiengesellschaft;DE;http://www.basf.com/
3088;SNCB;SNCB Holding Belgium National Railways;;
3089;Freightliner;Freightliner PL Spółka z o.o.;PL;http://www.freightliner.pl/
3090;HUPAC S.p.A;Hupac SpA;IT;http://www.hupac.com/
3091;GATX;GATX Rail Poland Spólka z o.o.;;
3093;ITL;ITL Eisenbahngesellschaft mbH;DE;http://itl-dresden.de/
3094;TSS;Traťová strojní společnost, a.s.;CZ;http://www.tssas.cz/
3095;Arriva;Arriva Nederland;NL;http://www.arriva.nl/
3096;DBCCH;DB Cargo Schweiz GmbH;CH;http://ch.dbcargo.com/
3098;BRC;Bulgarian Railway Company AD;BG;http://www.brc-bg.com/
3099;Rail4Captrain;Rail4Captrain GmbH;;
3100;DBCPL;DB Cargo Polska Spółka Akcyjna;PL;http://pl.dbcargo.com/
3101;Viamont;Viamont a.s.;;
3103;Koltar;"Grupa Azoty ""KOLTAR"" Sp. z o.o.";PL;http://koltar.grupaazoty.com/
3105;LOTOS Kolej;LOTOS Kolej Spółka z o.o.;PL;http://www.lotos.pl/
3106;BARTER;BARTER S.A.;PL;
3107;PSZ;Prvá Slovenská železnicná, a.s.;SK;http://www.sped-trans.sk/
3108;LogServ,;Logistik Service GmbH..;;
3109;FTA;Finnish Transport Agency;FI;http://portal.liikennevirasto.fi/
3110;CEMET;CEMET S.A;;
3111;TC;Transchem Spółka z o.o.;PL;http://www.transchem.com.pl/
3112;BRKS;Bratislavská regionálna kolajová spolocnost;;
3113;Rail Polska;Rail Polska Sp. z o.o.;PL;http://www.railpolska.pl/
3114;CTL Logistics GmbH;CTL Logistics GmbH;DE;http://www.ctl.pl/en/218,ctl-logistics-gmbh.html
3115;UNIDO;ORLEN Unipetrol Doprava s.r.o.;CZ;http://www.orlenunipetroldoprava.cz
3116;RCO,;RCO Spólka Akcyjna;;
3117;RC-CF TRANS;SC. RC-CF Trans SRL. BRASOV;RO;http://www.rccf.ro/
3118;AG EMS;Aktien-Gesellschaft 'EMS';DE;http://www.ag-ems.de/
3119;Masped Rail Cargo Zrt.;Masped Rail Cargo Magánvasút Zrt.;;
3120;BOBO Corporation;BOBO Vehicle Repair, Industrial, Trading and Supplier Corporation;HU;
3121;RSCO;Rolling Stock Company S.A.;RO;http://www.rsco.ro/
3123;Eurocom;Eurocom Zrt.;;
3124;TRAIN HUNGARY Kft.;TRAIN HUNGARY Magánvasút Kft.;HU;http://www.trainhungary.hu/
3125;RM LINES;RM LINES, a.s.;CZ;
3126;Öresundtåg;Skånetrafiken, Region Skåne;SE;http://www.skanetrafiken.se/
3127;HSL;HSL Logistik GmbH;DE;http://www.hsl-logistic.com/
3128;INRAIL;INRAIL S.p.A.;IT;http://www.inrail.it/
3129;CTL Logistics;CTL Logistics Spółka z o.o.;PL;http://www.ctl.pl/
3130;AS GoRail;AS GoRail;EE;http://www.gorail.ee/
3131;PMTLU;Pol-Miedź Trans Spółka z o.o.;PL;http://pmtrans.pl/
3132;CTV;SC Cargo Trans Vagon SA;RO;http://www.tts-group.ro/
3133;PKPCI HU;PKP CARGO INTERNATIONAL HU Zrt.;HU;www.pkpcargointernational.com
3134;RR;Regio Rail;;
3135;HanseCom;HanseCom GmbH;DE;http://www.hansecom.com/
3136;PPMT Sp. z o.o. w Gdańsku;Pomorskie Przedsiębiorstwo Mechaniczno-Torowe Sp. z o.o. w Gdańsku;PL;http://www.ppmt.com.pl/
